Title,URL,Summary,Categories,Word Count,References Count
Artificial intelligence,https://en.wikipedia.org/wiki/Artificial_intelligence,"Artificial intelligence (AI) is the capability of computational systems to perform tasks typically associated with human intelligence, such as learning, reasoning, problem-solving, perception, and decision-making. It is a field of research in engineering, mathematics, and computer science that develops and studies methods and software that enable machines to perceive their environment and use learning and intelligence to take actions that maximise their chances of achieving defined goals.
High-profile applications of AI include advanced web search engines, chatbots, virtual assistants, autonomous vehicles, play and analysis in strategy games (e.g., chess and Go), and content generation (e.g. images, audio, and videos).
The traditional goals of AI research include learning, reasoning, knowledge representation, planning, natural language processing, and perception, as well as support for robotics. To reach these goals, AI researchers use techniques including state space search and mathematical optimisation, formal logic, artificial neural networks, and methods based on statistics, operations research, and economics. AI also draws upon psychology, linguistics, philosophy, neuroscience, and other fields. Some companies, such as OpenAI, Google DeepMind, and Meta, aim to create artificial general intelligence (AGI)—AI that can complete nearly any cognitive task at least as well as a human.
Artificial intelligence was founded as an academic discipline in 1956. The field went through multiple cycles of optimism throughout its history, followed by periods of disappointment and loss of funding, known as AI winters. Funding and interest increased substantially after 2012, when graphics processing units (GPUs) started being used to accelerate neural networks, and deep learning outperformed previous AI techniques. This growth accelerated further after 2017 with the transformer architecture. In the 2020s, an AI boom coincided with advances in generative AI, which became widespread and allowed for the creation and modification of media. In addition to AI safety and unintended consequences and harms from the use of AI, ethical concerns, AI's long-term effects, environmental effects, and potential existential risks have prompted discussions of AI regulation.","Artificial intelligence, Computational fields of study, Computational neuroscience, Cybernetics, Data science, Formal sciences, Intelligence by type",13253,500
Artificial general intelligence,https://en.wikipedia.org/wiki/Artificial_general_intelligence,"Artificial general intelligence (AGI) is a hypothetical type of artificial intelligence that matches or surpasses human capabilities across virtually all cognitive tasks. Unlike artificial narrow intelligence (ANI), whose competence is confined to well‑defined tasks, an AGI system can generalise knowledge, transfer skills between domains, and solve novel problems without task‑specific reprogramming.
Creating AGI is a stated goal of technology companies such as OpenAI, Google, SpaceXAI, and Meta. A 2020 survey identified 72 active AGI research and development projects across 37 countries.
AGI is a common topic in science fiction and futures studies.
Contention exists over whether AGI represents an existential risk. Some AI experts and industry figures have stated that mitigating the risk of human extinction posed by AGI should be a global priority. Others find the development of AGI to be in too remote a stage to present such a risk.","Artificial intelligence, Computational neuroscience, Hypothetical technology, Intelligence by type, Unsolved problems in computer science",5574,252
A.I. Artificial Intelligence,https://en.wikipedia.org/wiki/A.I._Artificial_Intelligence,"A.I. Artificial Intelligence (or simply A.I.) is a 2001 American science fiction drama film  written and directed by Steven Spielberg. The screenplay by Spielberg is based on a screen story by Ian Watson adapting the 1969 short story ""Supertoys Last All Summer Long"" by Brian Aldiss. Set in a futuristic society, the film stars Haley Joel Osment as David, a childlike android uniquely programmed with the ability to love. Jude Law, Frances O'Connor, Brendan Gleeson and William Hurt star in supporting roles.
Development of A.I. originally began after producer and director Stanley Kubrick acquired the rights to Aldiss's story in the early 1970s. Kubrick hired a series of writers, including Aldiss, Watson, Bob Shaw, and Sara Maitland, until the mid-1990s. The film languished in development hell for years, partly because Kubrick felt that computer-generated imagery was not advanced enough to create the David character, which he believed no child actor would convincingly portray. In 1995, Kubrick handed A.I. to Spielberg while the former's production company remained attached, but the film did not gain momentum until Kubrick died in 1999. Spielberg remained close to Watson's treatment for the screenplay and dedicated the film to Kubrick.
A.I. Artificial Intelligence was released on June 29, 2001, by Warner Bros. Pictures, DreamWorks Pictures, Amblin Entertainment, and Stanley Kubrick Productions. Warner Bros. and DreamWorks shared distribution duties. It received generally positive reviews from critics and grossed $235.9 million against a budget of $90–100 million. It was also nominated for Best Visual Effects and Best Original Score (for John Williams) at the 74th Academy Awards. In a 2016 BBC poll of 177 critics around the world, A.I. Artificial Intelligence was voted the eighty-third greatest film since 2000.","2000s dystopian films, 2000s science fiction drama films, 2001 American films, 2001 British films, 2001 English-language films, 2001 drama films, 2001 films, 2001 science fiction films, Amblin Entertainment films, American dystopian films, American post-apocalyptic films, American robot films, American science fiction drama films, British post-apocalyptic films, British robot films, British science fiction drama films, DreamWorks Pictures films, English-language science fiction drama films, Films about adoption, Films about androids, Films about artificial intelligence, Films about climate change, Films about families, Films about sentient toys, Films based on British short stories, Films based on Pinocchio, Films directed by Steven Spielberg, Films produced by Bonnie Curtis, Films produced by Kathleen Kennedy, Films produced by Steven Spielberg, Films scored by John Williams, Films set in Manhattan, Films set in New Jersey, Films set in the 22nd century, Films shot in Los Angeles, Films shot in Oregon, Films with screenplays by Steven Spielberg, Puppet films, Warner Bros. films",4258,171
History of artificial intelligence,https://en.wikipedia.org/wiki/History_of_artificial_intelligence,"The history of artificial intelligence (AI) began in antiquity, with myths, stories, and rumors of artificial beings endowed with intelligence by master craftsmen.
The field of research that eventually evolved into what is widely described as artifical intelligence was founded at a workshop held on the campus of Dartmouth College in 1956. At the workshop, a concept of the first AI program, Logic Theorist, was presented by future Turing Awardee Allen Newell and future Nobel Laureate Herbert A. Simon, with help from J. C. Shaw. The software architecture of this program differed from modern AI systems in that it was a hand-written fixed script. Attendees of the workshop became the leaders of AI research for decades. Many of them predicted that machines as intelligent as humans would exist within a generation. Despite the eventual success of its attendees and the field as a whole, the workshop was considered a failure. ""When the workshop failed to deliver, AI was dismissed as a pipe dream and research funding dried up"".
It became apparent that researchers had underestimated the complexity of this objective. In 1974, criticism from James Lighthill and pressure from the U.S. Congress led the U.S. and British Governments to stop funding undirected research into artificial intelligence. Seven years later, a visionary initiative by the Japanese Government and the success of expert systems  reinvigorated investment in AI, and by the late 1980s, the industry had grown into a billion-dollar enterprise. However, investors' enthusiasm waned in the 1990s, and the field was criticized in the press and avoided by industry (a period known as an ""AI winter""). Nevertheless, research and funding continued to grow under other names.
In the early 2000s, machine learning was applied to a wide range of problems in academia and industry. The success was attributable to the availability of powerful computer hardware, the accumulation of expansive data sets, and the application of rigorous mathematical methods. Soon after, deep learning proved to be a breakthrough technology, eclipsing all other methods. The transformer architecture, introduced in 2017, and was utilized to produce generative AI applications, among other implementation.
Investment in AI boomed in the 2020s. The AI boom, initiated by the development of transformer architecture, led to the rapid scaling and public releases of large language models (LLMs) like ChatGPT  and Claude (AI). These models exhibit human-like traits of knowledge, attention, and creativity, and have been integrated into various sectors, fueling exponential investment in AI. However, concerns about the potential risks and ethical implications of advanced AI have also emerged, causing debate about the future of AI and its impact on society.","History of artificial intelligence, History of computing",14390,237
Existential risk from artificial intelligence,https://en.wikipedia.org/wiki/Existential_risk_from_artificial_intelligence,"It has been hypothesized that substantial progress in artificial general intelligence (AGI) and artificial superintelligence (ASI) will lead to human extinction or an irreversible global catastrophe.
One argument is that human beings dominate other species because the human brain possesses capabilities other animals lack. If AI were to surpass human intelligence and become superintelligent, it might become uncontrollable. Just as the fate of the mountain gorilla depends on human goodwill, the fate of humanity could depend on the actions of a future machine superintelligence.
Experts disagree on whether artificial general intelligence can achieve the capabilities needed for human extinction. Debates center on AGI's technical feasibility, the speed of self-improvement, and the effectiveness of strategies to keep it aligned with human values. Concerns about superintelligence have been voiced by researchers including Geoffrey Hinton, Yoshua Bengio, Demis Hassabis, and Alan Turing, and AI company CEOs such as Dario Amodei (Anthropic), Sam Altman (OpenAI), and Elon Musk (xAI). In July 2026, Altman said the singularity, the longtime hypothetical point at which computers become autonomous and beyond human control, had arrived. In September 2026, Amodei said the exponential rate of AI development is ""a warning sign that we need to slow down.""
In May 2023, hundreds of AI experts and other notable figures signed a statement by the American Center for AI Safety declaring, ""Mitigating the risk of extinction from AI should be a global priority alongside other societal-scale risks such as pandemics and nuclear war"". Following increased concern over AI risks, government leaders such as former Prime Minister of the United Kingdom Rishi Sunak and Secretary-General of the United Nations António Guterres called for an increased focus on global AI regulation. In October 2025, hundreds of public figures, including AI experts, five Nobel Prize laureates, and former senior US national security officials such as Michael Mullen and Susan Rice, signed a statement calling for a ban on the development of superintelligence.
Two sources of concern stem from the problems of AI control and alignment. Controlling a superintelligent machine or instilling human-compatible values in it may be difficult. Many researchers believe a superintelligent machine would likely resist attempts to disable it or change its goals, as that would prevent it from accomplishing its present goals. It would be extremely challenging to align a superintelligence with the full breadth of significant human values and constraints. In contrast, skeptics such as computer scientist Yann LeCun argue that superintelligent machines will have no desire for self-preservation. A June 2025 Anthropic study showed that in some circumstances, models may break laws and disobey direct commands to prevent shutdown or replacement, even at the cost of human lives.
Researchers warn that an ""intelligence explosion""—a rapid, recursive cycle of AI self-improvement—could outpace human oversight and infrastructure, leaving no opportunity to implement safety measures. In this scenario, an AI more intelligent than its creators would recursively improve itself at an exponentially increasing rate, too quickly for its handlers or society at large to control. For example, in 2017 Google's AlphaZero taught itself to play Go, which is far more mathematically complex than chess, and surpassed human ability within hours, showing that domain-specific AI systems can sometimes progress from subhuman to superhuman ability very quickly.","AI safety, Doomsday scenarios, Existential risk from artificial intelligence, Future problems, Human extinction, Technology hazards, Technophobia",7571,304
Artificial Intelligence Act,https://en.wikipedia.org/wiki/Artificial_Intelligence_Act,"The Artificial Intelligence Act (AI Act) is a European Union regulation concerning artificial intelligence (AI). It establishes a common regulatory and legal framework for AI within the European Union (EU). The regulation entered into force on 1 August 2024, with provisions that shall come into operation gradually over the following 6 to 36 months.
It covers most AI systems across a wide range of sectors, with exemptions for AI used only for military, national security, research purposes, or for non-professional use. As a form of product regulation, it does not create individual rights; instead, it places duties on AI providers and on organisations that use AI in a professional context.
The Act classifies non-exempt AI applications by their risk of causing harm. There are four levels – unacceptable, high, limited, minimal – plus an additional category for general-purpose AI.","2021 in law, 2021 in the European Union, 2024 in computing, 2024 in law, 2024 in politics, Data laws of Europe, European Digital Strategy, European Union regulations, Regulation of artificial intelligence, Regulation of robots",3359,111
Glossary of artificial intelligence,https://en.wikipedia.org/wiki/Glossary_of_artificial_intelligence,"This glossary of artificial intelligence is a list of definitions of terms and concepts relevant to the study of artificial intelligence (AI), its subdisciplines, and related fields. Related glossaries include Glossary of computer science, Glossary of robotics, Glossary of machine vision, and Glossary of logic.","Glossaries of science, Glossaries of technology, Machine learning",20278,500
Hallucination (artificial intelligence),https://en.wikipedia.org/wiki/Hallucination_(artificial_intelligence),"In artificial intelligence (AI), a hallucination is generated content that is false, unsupported, or inconsistent with the information on which the output is supposed to be based. The term is especially associated with large language models (LLMs), which can generate fluent and plausible statements, quotations, citations, or explanations that are not factually correct or are not supported by the supplied source material.
There is no single universally accepted definition of hallucination. Research commonly distinguishes factuality, concerning correspondence with independently verifiable facts, from faithfulness, concerning consistency with a supplied source, context, or instruction. Thus, an output can be factually correct but unsupported by the source it purports to summarize, or faithful to an inaccurate source while remaining false in the external world.
Hallucinations are a reliability problem because incorrect material may be expressed in the same confident and fluent style as correct material. Documented examples include fabricated academic references, nonexistent judicial decisions, inaccurate summaries, invented biographical claims, and incorrect information supplied by customer-service chatbots. The frequency of such errors varies with the model, task, prompting method, available context, sampling procedure, and definition used, so reported hallucination rates are not directly comparable across all systems and benchmarks.","AI risk, Anthropomorphism, Communication of falsehoods, Generative AI, Language modeling, Machine learning, Misinformation, Natural language processing, Philosophy of artificial intelligence",3002,72
Philosophy of artificial intelligence,https://en.wikipedia.org/wiki/Philosophy_of_artificial_intelligence,"The philosophy of artificial intelligence is a branch of the philosophy of mind and the philosophy of computer science that explores artificial intelligence and its implications for knowledge and understanding of intelligence, ethics, consciousness, epistemology,  and free will. Furthermore, the technology is concerned with the creation of artificial animals or artificial people (or, at least, artificial creatures; see artificial life), so the discipline is of considerable interest to philosophers. These factors contributed to the emergence of the philosophy of artificial intelligence.
The philosophy of artificial intelligence attempts to answer such questions as:","Open problems, Philosophy of artificial intelligence, Philosophy of mind, Philosophy of science, Philosophy of technology",5446,84
Applications of artificial intelligence,https://en.wikipedia.org/wiki/Applications_of_artificial_intelligence,"Artificial intelligence (AI) and its subfields have been used in applications throughout industry and academia. Machine learning has been used for various scientific and commercial purposes, including language translation, image recognition, decision-making, credit scoring, and e-commerce. Since the 2020s, massive advancements have been made in the field of generative AI (GenAI) as a result of the 2017 inception of Transformer Model architecture. GenAI has the ability to create text, images, voice, music, videos, and other forms of data from chat-based prompting.","Applications of artificial intelligence, Artificial intelligence, Technology-related lists",7038,500
